,Country/Region,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1
354,Tajikistan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
352,Syria,2020-01-23,0,0,0,0,0,0,0.06836577025798513
332,Saint Vincent and the Grenadines,2020-01-23,0,0,0,0,0,0,0.06836577025798513
333,San Marino,2020-01-23,0,0,0,0,0,0,0.06836577025798513
334,Sao Tome and Principe,2020-01-23,0,0,0,0,0,0,0.06836577025798513
335,Saudi Arabia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
336,Senegal,2020-01-23,0,0,0,0,0,0,0.06836577025798513
337,Serbia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
338,Seychelles,2020-01-23,0,0,0,0,0,0,0.06836577025798513
339,Sierra Leone,2020-01-23,0,0,0,0,0,0,0.06836577025798513
340,Singapore,2020-01-23,1,0,0,1,0,0,0.06836577025798513
353,Taiwan*,2020-01-23,1,0,0,1,0,0,0.06836577025798513
341,Slovakia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
343,Somalia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
344,South Africa,2020-01-23,0,0,0,0,0,0,0.06836577025798513
345,South Sudan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
346,Spain,2020-01-23,0,0,0,0,0,0,0.06836577025798513
347,Sri Lanka,2020-01-23,0,0,0,0,0,0,0.06836577025798513
348,Sudan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
349,Suriname,2020-01-23,0,0,0,0,0,0,0.06836577025798513
350,Sweden,2020-01-23,0,0,0,0,0,0,0.06836577025798513
351,Switzerland,2020-01-23,0,0,0,0,0,0,0.06836577025798513
342,Slovenia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
282,Kyrgyzstan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
234,Czechia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
280,Kosovo,2020-01-23,0,0,0,0,0,0,0.06836577025798513
212,Brunei,2020-01-23,0,0,0,0,0,0,0.06836577025798513
213,Bulgaria,2020-01-23,0,0,0,0,0,0,0.06836577025798513
214,Burkina Faso,2020-01-23,0,0,0,0,0,0,0.06836577025798513
215,Burma,2020-01-23,0,0,0,0,0,0,0.06836577025798513
216,Burundi,2020-01-23,0,0,0,0,0,0,0.06836577025798513
217,Cabo Verde,2020-01-23,0,0,0,0,0,0,0.06836577025798513
218,Cambodia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
219,Cameroon,2020-01-23,0,0,0,0,0,0,0.06836577025798513
220,Canada,2020-01-23,0,0,0,0,0,0,0.06836577025798513
210,Botswana,2020-01-23,0,0,0,0,0,0,0.06836577025798513
221,Central African Republic,2020-01-23,0,0,0,0,0,0,0.06836577025798513
223,Chile,2020-01-23,0,0,0,0,0,0,0.06836577025798513
224,China,2020-01-23,643,18,30,643,30,18,0.1034878179093146
225,Colombia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
226,Comoros,2020-01-23,0,0,0,0,0,0,0.06836577025798513
227,Congo,2020-01-23,0,0,0,0,0,0,0.06836577025798513
228,Congo,2020-01-23,0,0,0,0,0,0,0.06836577025798513
229,Costa Rica,2020-01-23,0,0,0,0,0,0,0.06836577025798513
230,Cote d'Ivoire,2020-01-23,0,0,0,0,0,0,0.06836577025798513
231,Croatia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
222,Chad,2020-01-23,0,0,0,0,0,0,0.06836577025798513
232,Cuba,2020-01-23,0,0,0,0,0,0,0.06836577025798513
209,Bosnia and Herzegovina,2020-01-23,0,0,0,0,0,0,0.06836577025798513
207,Bhutan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
281,Kuwait,2020-01-23,0,0,0,0,0,0,0.06836577025798513
188,Afghanistan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
189,Albania,2020-01-23,0,0,0,0,0,0,0.06836577025798513
190,Algeria,2020-01-23,0,0,0,0,0,0,0.06836577025798513
191,Andorra,2020-01-23,0,0,0,0,0,0,0.06836577025798513
192,Angola,2020-01-23,0,0,0,0,0,0,0.06836577025798513
193,Antigua and Barbuda,2020-01-23,0,0,0,0,0,0,0.06836577025798513
194,Argentina,2020-01-23,0,0,0,0,0,0,0.06836577025798513
195,Armenia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
208,Bolivia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
196,Australia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
198,Azerbaijan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
199,Bahamas,2020-01-23,0,0,0,0,0,0,0.06836577025798513
200,Bahrain,2020-01-23,0,0,0,0,0,0,0.06836577025798513
201,Bangladesh,2020-01-23,0,0,0,0,0,0,0.06836577025798513
202,Barbados,2020-01-23,0,0,0,0,0,0,0.06836577025798513
203,Belarus,2020-01-23,0,0,0,0,0,0,0.06836577025798513
204,Belgium,2020-01-23,0,0,0,0,0,0,0.06836577025798513
205,Belize,2020-01-23,0,0,0,0,0,0,0.06836577025798513
206,Benin,2020-01-23,0,0,0,0,0,0,0.06836577025798513
197,Austria,2020-01-23,0,0,0,0,0,0,0.06836577025798513
